"jdn"	"julian_year"	"julian_month"	"julian_day"	"month_number"	"month_name"	"month_days"	"new_moon"	"diff"
1492871	-625	4	5	1	"Nisanu"	30	1492869.24418934	1.755810660077259
1492901	-625	5	5	2	"Aiaru"	30	1492898.8876860011	2.112313998863101
1492931	-625	6	4	3	"Simanu"	30	1492928.4859243839	2.514075616141781
1492960	-625	7	3	4	"Duzu"	29	1492958.0357877724	1.9642122276127338
1492990	-625	8	2	5	"Abu"	30	1492987.540733015	2.4592669850680977
1493019	-625	8	31	6	"Ululu"	29	1493017.0071346988	1.9928653012029827
1493048	-625	9	29	7	"Tashritu"	29	1493046.4459595203	1.5540404797066003
1493078	-625	10	29	8	"Arahsamnu"	30	1493075.8744280175	2.1255719824694097
1493107	-625	11	27	9	"Kislimu"	29	1493105.3125065565	1.6874934434890747
1493137	-625	12	27	10	"Tebetu"	30	1493134.7755580968	2.224441903177649
1493166	-624	1	25	11	"Shabatu"	29	1493164.269312048	1.7306879519019276
1493196	-624	2	24	12	"Addaru"	30	1493193.7919215593	2.20807844074443
1493225	-624	3	24	1	"Nisanu"	29	1493223.3413384096	1.658661590423435
1493255	-624	4	23	2	"Aiaru"	30	1493252.9197533645	2.0802466354798526
1493285	-624	5	23	3	"Simanu"	30	1493282.5292258058	2.470774194225669
1493314	-624	6	21	4	"Duzu"	29	1493312.1621298357	1.837870164308697
1493344	-624	7	21	5	"Abu"	30	1493341.7963087843	2.2036912157200277
1493374	-624	8	20	6	"Ululu"	30	1493371.4027998988	2.5972001012414694
1493403	-624	9	18	7	"Tashritu"	29	1493400.9624685904	2.037531409645453
1493433	-624	10	18	8	"Arahsamnu"	30	1493430.4764115252	2.5235884748399258
1493462	-624	11	16	9	"Kislimu"	29	1493459.9595541628	2.0404458371922374
1493492	-624	12	16	10	"Tebetu"	30	1493489.4243619293	2.575638070702553
1493521	-623	1	14	11	"Shabatu"	29	1493518.8720174152	2.127982584759593
1493551	-623	2	13	12	"Addaru"	30	1493548.3003261765	2.6996738235466182
1493580	-623	3	14	13	"Addaru₂"	29	1493577.7187740086	2.281225991435349
1493609	-623	4	12	1	"Nisanu"	29	1493607.1538769894	1.8461230106186122
1493639	-623	5	12	2	"Aiaru"	30	1493636.6394977309	2.3605022691190243
1493668	-623	6	10	3	"Simanu"	29	1493666.1992384708	1.8007615292444825
1493698	-623	7	10	4	"Duzu"	30	1493695.8317926517	2.1682073483243585
1493727	-623	8	8	5	"Abu"	29	1493725.5096040014	1.490395998582244
1493757	-623	9	7	6	"Ululu"	30	1493755.1937791717	1.8062208283226937
1493787	-623	10	7	7	"Tashritu"	30	1493784.8531806385	2.146819361485541
1493816	-623	11	5	8	"Arahsamnu"	29	1493814.4707486979	1.529251302126795
1493845	-623	12	4	9	"Kislimu"	29	1493844.0355230365	0.9644769635051489
1493875	-622	1	3	10	"Tebetu"	30	1493873.5359178497	1.4640821502543986
1493905	-622	2	2	11	"Shabatu"	30	1493902.9658339017	2.034166098339483
1493934	-622	3	3	12	"Addaru"	29	1493932.3361961646	1.6638038353994489
1493964	-622	4	2	1	"Nisanu"	30	1493961.6779076257	2.3220923743210733
1493993	-622	5	1	2	"Aiaru"	29	1493991.0335838767	1.9664161233231425
1494022	-622	5	30	3	"Simanu"	29	1494020.4445339025	1.5554660975467414
1494052	-622	6	29	4	"Duzu"	30	1494049.939373941	2.060626059072092
1494082	-622	7	29	5	"Abu"	30	1494079.5281694676	2.4718305324204266
1494111	-622	8	27	6	"Ululu"	29	1494109.2027043942	1.797295605763793
1494141	-622	9	26	7	"Tashritu"	30	1494138.9388400177	2.0611599823459983
1494170	-622	10	25	8	"Arahsamnu"	29	1494168.696716012	1.30328398803249
1494200	-622	11	24	9	"Kislimu"	30	1494198.4231184043	1.576881595654413
1494229	-622	12	23	10	"Tebetu"	29	1494228.0658658748	0.9341341252438724
1494259	-621	1	22	11	"Shabatu"	30	1494257.596137303	1.4038626970723271
1494288	-621	2	20	12	"Addaru"	29	1494287.0189991873	0.9810008127242327
1494318	-621	3	22	1	"Nisanu"	30	1494316.3648228107	1.635177189251408
1494347	-621	4	20	2	"Aiaru"	29	1494345.6738623236	1.3261376763693988
1494377	-621	5	20	3	"Simanu"	30	1494374.985698733	2.0143012669868767
1494407	-621	6	19	4	"Duzu"	30	1494404.335984441	2.664015559013933
1494436	-621	7	18	5	"Abu"	29	1494433.7576506732	2.242349326843396
1494466	-621	8	17	6	"Ululu"	30	1494463.2810883678	2.7189116321969777
1494495	-621	9	15	7	"Ululu₂"	29	1494492.926628183	2.073371816892177
1494525	-621	10	15	8	"Tashritu"	30	1494522.6866366677	2.3133633323013783
1494555	-621	11	14	9	"Arahsamnu"	30	1494552.5089285143	2.4910714856814593
1494584	-621	12	13	10	"Kislimu"	29	1494582.3077160716	1.6922839283943176
1494614	-620	1	12	11	"Tebetu"	30	1494612.0070512688	1.9929487311746925
1494644	-620	2	11	12	"Shabatu"	30	1494641.576161883	2.4238381169270724
1494673	-620	3	11	13	"Addaru"	29	1494671.0264406372	1.9735593628138304
1494702	-620	4	9	1	"Nisanu"	29	1494700.3884897376	1.6115102623589337
1494732	-620	5	9	2	"Aiaru"	30	1494729.6959483628	2.304051637183875
1494761	-620	6	7	3	"Simanu"	29	1494758.9825059902	2.017494009807706
1494790	-620	7	6	4	"Duzu"	29	1494788.2857990176	1.7142009823583066
1494820	-620	8	5	5	"Abu"	30	1494817.6500858096	2.3499141903594136
1494849	-620	9	3	6	"Ululu"	29	1494847.1214400576	1.878559942357242
1494879	-620	10	3	7	"Tashritu"	30	1494876.7317171297	2.268282870296389
1494909	-620	11	2	8	"Arahsamnu"	30	1494906.4749949719	2.525005028117448
1494939	-620	12	2	9	"Kislimu"	30	1494936.2958988852	2.7041011147666723
1494969	-619	1	1	10	"Tebetu"	30	1494966.1111916408	2.8888083591591567
1494998	-619	1	30	11	"Shabatu"	29	1494995.8503098576	2.149690142367035
1495028	-619	3	1	12	"Addaru"	30	1495025.4768116267	2.523188373306766
1495057	-619	3	30	1	"Nisanu"	29	1495054.9839394218	2.016060578171164
1495086	-619	4	28	2	"Aiaru"	29	1495084.384288459	1.615711540915072
1495116	-619	5	28	3	"Simanu"	30	1495113.704921631	2.2950783690903336
1495145	-619	6	26	4	"Duzu"	29	1495142.9853853371	2.014614662854001
1495174	-619	7	25	5	"Abu"	29	1495172.2740773237	1.725922676268965
1495204	-619	8	24	6	"Ululu"	30	1495201.6213014552	2.3786985448095948
1495234	-619	9	23	7	"Tashritu"	30	1495231.0687184343	2.9312815656885505
1495263	-619	10	22	8	"Arahsamnu"	29	1495260.6368598938	2.363140106201172
1495293	-619	11	21	9	"Kislimu"	30	1495290.317163831	2.682836168911308
1495323	-619	12	21	10	"Tebetu"	30	1495320.075259721	2.9247402790933847
1495352	-618	1	19	11	"Shabatu"	29	1495349.8615909456	2.1384090543724597
1495382	-618	2	18	12	"Addaru"	30	1495379.620350302	2.3796496980357915
1495411	-618	3	19	1	"Nisanu"	29	1495409.298877935	1.7011220650747418
1495441	-618	4	18	2	"Aiaru"	30	1495438.8628172535	2.1371827465482056
1495470	-618	5	17	3	"Simanu"	29	1495468.3091299331	1.6908700668718666
1495500	-618	6	16	4	"Duzu"	30	1495497.665839526	2.3341604738961905
1495529	-618	7	15	5	"Abu"	29	1495526.9797332024	2.020266797626391
1495558	-618	8	13	6	"Ululu"	29	1495556.3006129595	1.6993870404548943
1495588	-618	9	12	7	"Ululu₂"	30	1495585.6681866096	2.331813390366733
1495617	-618	10	11	8	"Tashritu"	29	1495615.105223789	1.8947762108873576
1495647	-618	11	10	9	"Arahsamnu"	30	1495644.6198389123	2.380161087727174
1495676	-618	12	9	10	"Kislimu"	29	1495674.2135461671	1.786453832872212
1495706	-617	1	8	11	"Tebetu"	30	1495703.882992792	2.117007208056748
1495735	-617	2	6	12	"Shabatu"	29	1495733.6088483254	1.3911516745574772
1495765	-617	3	8	13	"Addaru"	30	1495763.3461300335	1.6538699665106833
1495795	-617	4	7	1	"Nisanu"	30	1495793.0366466327	1.9633533672895283
1495825	-617	5	7	2	"Aiaru"	30	1495822.6383478958	2.3616521041840315
1495854	-617	6	5	3	"Simanu"	29	1495852.1438902868	1.856109713204205
1495884	-617	7	5	4	"Duzu"	30	1495881.5758164602	2.4241835398133844
1495913	-617	8	3	5	"Abu"	29	1495910.9692444687	2.030755531275645
1495942	-617	9	1	6	"Ululu"	29	1495940.355930587	1.6440694129560143
